epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss, val/cls_loss,val/dfl_loss,x/lr0,x/lr1,x/lr2
0,1.8586,7.0218,2.9429,0.0015978,0.58874,0.0046909,0.0043049,0,0,0,0.071685,0.0049968,0.0049968
1,0.60983,5.6922,1.5478,0.0024178,0.7063,0.0096356,0.0095132,0,0,0,0.043331,0.009977,0.009977
2,0.48044,5.28,1.3683,0.0031856,0.6941,0.011874,0.011776,0,0,0,0.014959,0.014937,0.014937
3,0.41694,4.9521,1.3045,0.0038259,0.83081,0.027377,0.02729,0,0,0,0.014911,0.014911,0.014911
4,0.35551,4.7408,1.2545,0.0095335,0.71099,0.039465,0.039421,0,0,0,0.014911,0.014911,0.014911
5,0.33017,4.6183,1.2376,0.89052,0.039428,0.058684,0.058254,0,0,0,0.014881,0.014881,0.014881
6,0.30561,4.5021,1.218,0.78451,0.072408,0.086614,0.086453,0,0,0,0.014851,0.014851,0.014851
7,0.30064,4.4186,1.2156,0.75124,0.096016,0.10452,0.1045,0,0,0,0.014822,0.014822,0.014822
8,0.27461,4.3188,1.1958,0.71003,0.1247,0.13359,0.13346,0,0,0,0.014792,0.014792,0.014792
9,0.2729,4.2533,1.1965,0.70121,0.13244,0.14908,0.1488,0,0,0,0.014762,0.014762,0.014762
10,0.262,4.1825,1.189,0.67868,0.15741,0.16483,0.16406,0,0,0,0.014733,0.014733,0.014733
11,0.25301,4.119,1.1827,0.69705,0.15927,0.1917,0.19138,0,0,0,0.014703,0.014703,0.014703
12,0.2509,4.0698,1.183,0.7246,0.17328,0.21355,0.21333,0,0,0,0.014673,0.014673,0.014673
13,0.24827,4.0163,1.1801,0.63361,0.20854,0.23392,0.2339,0,0,0,0.014644,0.014644,0.014644
14,0.24264,3.9751,1.178,0.67811,0.20225,0.23486,0.23451,0,0,0,0.014614,0.014614,0.014614
15,0.24143,3.9421,1.1761,0.68368,0.2117,0.25428,0.25411,0,0,0,0.014584,0.014584,0.014584
16,0.23989,3.8972,1.1747,0.71986,0.21879,0.26634,0.26581,0,0,0,0.014554,0.014554,0.014554
